Tournament,Game Name,Short Name,Abbr-Game,Abbr-Regions List,Region Includes,Smash URL,Alt Reg URL,Info-Cap,Stream-Pools,Stream-Finals,Matcherino URL,$-Pot Split,Info-Seeding,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Finals-Phase,Finals-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Rules-Disconnect,Staff-Lead TOs,Img-Game Logo URL,Rules-Notes,Info-Software Needed,Time-Start (PST),Time-Start (Local),TZ Main,TZ Offset,Info-Platform
BBCF - SA/SUD - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,SA/SUD,"Argentina, Bolivia, Chile, Ecuador, Paraguay, Perú & Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-sud/overview,,None,https://twitch.tv/mashnmix,https://twitch.tv/mashnmix,https://matcherino.com/tournaments/87039,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",MIX Dark,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-25 2:00pm,2023-02-25 7:00pm,BRT,-3,PC-Steam
BBCF - SEA - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,SEA,"Singapore, Malaysia, Thailand, Indonesia, Philippines, Vietnam, Brunei, Cambodia, Laos, Myanmar",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-sea/overview,,64,https://twitch.tv/kelcroze,https://twitch.tv/kelcroze,https://matcherino.com/tournaments/87040,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Kelcroze,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-18 8:00pm,2023-02-19 12:00pm,SGT,8,PC-Steam
BBTAG - NA - (PS4),Blazblue Cross Tag Battle,BBTAG,BBTAG,NA,"United States, Canada, Mexico",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-cross-tag-battle-na/overview,,64,https://www.twitch.tv/church_hb,https://www.twitch.tv/church_hb ,https://matcherino.com/tournaments/87041,50/25/15/10,Region + Skill,Double Elimination,N/A,3/5,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,NuclearTaco,https://dl.airtable.com/.attachments/5046c6464a118f29b4f1a2bb8de1e31a/c75bda1c/BlazBlue_Cross_Tag_Battle_logo.png,,,2023-02-26 1:00pm,2023-02-26 1:00pm,PST,-8,PS4
BBTAG - SA - (PC-Steam),Blazblue Cross Tag Battle,BBTAG,BBTAG,SA,"Brazil, Argentina and Chile.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-cross-tag-battle-sa/overview,,None,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,https://matcherino.com/tournaments/87042,50/30/20,Region + Skill,Double Elimination,N/A,3/5,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,V-sync should be turned on.,Zate,https://dl.airtable.com/.attachments/5046c6464a118f29b4f1a2bb8de1e31a/c75bda1c/BlazBlue_Cross_Tag_Battle_logo.png,,,2023-02-18 3:00pm,2023-02-18 8:00pm,BRT,-3,PC-Steam
BBTAG - SEA - (PC-Steam),Blazblue Cross Tag Battle,BBTAG,BBTAG,SEA," Singapore, Thailand, Philippines, Indonesia, Malaysia, Vietnam, 
(Brunei,  Laos, Myanmar, Cambodia, Timor-Leste connection dependant, will have to run connection tests, priority going to the above regions)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-cross-tag-battle-sea-1/overview,,None,https://twitch.tv/airdasher_sea, https://twitch.tv/airdasher_sea,https://matcherino.com/tournaments/87043,50/30/20,Region + Skill,Double Elimination,3/5,3/5,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",,Winner must keep character. Loser may switch.,,,VGD,https://dl.airtable.com/.attachments/5046c6464a118f29b4f1a2bb8de1e31a/c75bda1c/BlazBlue_Cross_Tag_Battle_logo.png,,,2023-02-24 8:00pm,2023-02-25 12:00pm,SGT,8,PC-Steam
DKG - NA+SA - (PC-Fightcade),Dan-Ku-Ga,DKG,DKG,"NA, SA","Canada, US, HI, AK, Mexico, CenAm, SA",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dan-ku-ga-na-sa/overview,,None,https://twitch.tv/tz_toast_rider,https://twitch.tv/tz_toast_rider,https://matcherino.com/tournaments/87049,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,PolarBair,https://dl.airtable.com/.attachments/b5952cd720007d39e360991e59c169e7/370f67e8/DanKuGa.png,,,2023-02-26 5:00pm,2023-02-26 5:00pm,PST,-8,PC-Fightcade 2
DOA5LR - JP - (PS4),Dead Or Alive 5 Last Round,DOA5LR,DOA5LR,JP,Japan,,https://tonamel.com/competition/edv1D,32,https://youtube.com/@yesu_japan,https://youtube.com/@yesu_japan,,,,Single Elimination,,,,,,,,,,https://dl.airtable.com/.attachments/63d207c08442eebaaa1b81c1d191b295/6777e9fb/Dead-Or-Alive-5-Last-Round-logo.png,Information about this tournament will be made available at @yesuofficial on Twitter. Please refer to the rules available on the registration page. For communication a dedicated Discord server is available for players participating in YeSU events.,,2023-02-25 7:00pm,2023-02-26 12:00pm,JST,9,PS4
DOA6 - JP - (PS4),Dead Or Alive 6,DOA6,DOA6,JP,Japan,,https://tonamel.com/competition/Bd5dy,32,https://youtube.com/@yesu_japan,https://youtube.com/@yesu_japan,,N/A,,Single Elimination,,,,,,,,,,https://dl.airtable.com/.attachments/a71e0efa953115cf21c2c027ed66aa82/21f9e47e/Dead-Or-Alive-6-logo.png,Information about this tournament will be made available at @yesuofficial on Twitter. Please refer to the rules available on the registration page. For communication a dedicated Discord server is available for players participating in YeSU events.,,2023-02-18 7:00pm,2023-02-19 12:00pm,JST,9,PS4
DFCI - NA - (PC),Dengeki Bunko Fighting Climax Ignition,Dengeki Bunko,DFCI,NA,"Continental US, Canada, Mexico",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dengeki-bunko-fighting-climax-ignition-na/overview,,None,https://twitch.tv/milkmandantv,https://twitch.tv/milkmandantv,https://matcherino.com/tournaments/87047,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","'- Default Settings
- DLC Yuuki & Ako Point Characters, Llenn & Lucien Support Characters are legal, if available on setups.
- Random stage select (players may opt for an agreed stage).
- Winner must keep character & assist, Loser may switch.",Winner must keep character. Loser may switch.,Game breaking glitches are banned.,,Bloo,https://dl.airtable.com/.attachments/c06f110d2d2b0f1858f36133619020c6/7a25568f/Dengeki-Bunko-Fighting-Climax-Ignition-logo.png,,,2023-02-17 4:00pm,2023-02-17 4:00pm,PST,-8,PC
DINO - ALL - (PC-Fightcade),Dino Rex,Dino Rex,DINO,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dino-rex-global/overview,,None,https://www.twitch.tv/alexalchemy,https://www.twitch.tv/alexalchemy,https://matcherino.com/tournaments/87048,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Alexalchemy,https://dl.airtable.com/.attachments/07a884484292edcf924f13677e175f35/51c469c4/Dino-Rex-logo.png,,Fightcade,2023-03-05 5:00pm,2023-03-05 5:00pm,PST,-8,PC-Fightcade 2
DNFD - NA - (PC-Steam),DNF Duel,DNFD,DNFD,NA,"USA (50 States & Territories), Canada, Mexico",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-na/overview,,512,https://twitch.tv/956Productions,https://twitch.tv/956Productions,https://matcherino.com/tournaments/87050,60/25/15,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","'- Default game settings.
- Random stage select (players may opt for
an agreed stage).",Winner must keep character. Loser may switch.,,,Hagure,https://dl.airtable.com/.attachments/9bcef077bfff49c9ee739f5d905dc293/fc252c80/DNFD_Logo.png,,,2023-02-18 4:00pm,2023-02-18 4:00pm,PST,-8,PC-Steam
DNFD - OCE - (PC-Steam),DNF Duel,DNFD,DNFD,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-oce/overview,,None,https://www.twitch.tv/Firery,twitch.tv/Firery,https://matcherino.com/tournaments/87051,50/30/20,,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",Default game settings,Winner must keep character. Loser may switch.,,,Firery,https://dl.airtable.com/.attachments/9bcef077bfff49c9ee739f5d905dc293/fc252c80/DNFD_Logo.png,,,2023-02-10 12:00am,2023-02-10 7:00pm,AEDT,11,PC-Steam
DNFD - SA/BR - (PS4),DNF Duel,DNFD,DNFD,SA/BR,Brazil only,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-br/overview,,None,https://twitch.tv/EC_SoulFGC,https://twitch.tv/EC_SoulFGC,https://matcherino.com/tournaments/87052,50/30/20,,Double Elimination,2/3,2/3,Top 8,"2/3 Games for Losers Finals,2/3 Games for Winners Finals,2/3 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,ShiroAoi,https://dl.airtable.com/.attachments/9bcef077bfff49c9ee739f5d905dc293/fc252c80/DNFD_Logo.png,,,2023-02-19 3:00pm,2023-02-19 8:00pm,BRT,-3,PS4
DNFD - SEA - (PC-Steam),DNF Duel,DNFD,DNFD,SEA," Singapore, Thailand Philippines, Indonesia, Laos, Malaysia, Vietnam, Brunei,Myanmar, Cambodia, Timor-Leste",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-sea/overview,,None,https://twitch.tv/airdasher_sea,https://twitch.tv/airdasher_sea,https://matcherino.com/tournaments/87053,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",,Winner must keep character. Loser may switch.,,,VGD,https://dl.airtable.com/.attachments/9bcef077bfff49c9ee739f5d905dc293/fc252c80/DNFD_Logo.png,,,2023-03-03 8:00pm,2023-03-04 12:00pm,SGT,8,PC-Steam
DD - NA+SA - (PC-Fightcade),Double Dragon,Double Dragon,DD,"NA, SA","Canada, US, HI, AK, Mexico, CenAm, SA",https://www.start.gg/tournament/vortex-gallery-online-2023/event/double-dragon-neo-geo-na-sa/overview,,None,https://twitch.tv/29thGuardian,https://twitch.tv/29thGuardian,https://matcherino.com/tournaments/87150,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,tobemorecrazy,https://dl.airtable.com/.attachments/e6fb7b4a356ae50ee103d4209ee6d4fc/abc7b532/Double-Dragon-logo.png,,,2023-02-17 3:00pm,2023-02-17 3:00pm,PST,-8,PC-Fightcade 2
DBFZ - OCE - (PC-Steam),Dragon Ball FighterZ,DBFZ,DBFZ,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dragon-ball-fighterz-oce/overview,,None,https://www.twitch.tv/FishelFGC,twitch.tv/FishelFGC,https://matcherino.com/tournaments/87046,50/30/20,Skill,Double Elimination,N/A,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Grand Finals,3/5 Games for Winners Finals",,Winner must keep character. Loser may switch.,,,"Firery,auraisbad",https://dl.airtable.com/.attachments/013b73a0efca11468b43b88b85a007e4/3c47bf66/dragon_ball_fighterz_logo.png,,,2023-02-26 12:00am,2023-02-26 7:00pm,AEDT,11,PC-Steam
EFZ - NA+EU - (PC-Caster),Eternal Fighter Zero,EFZ,EFZ,"NA, EU","USA & all Territories, Canada, Mexico, Antigua & Barbuda, Bahamas, Barbados, Belize, Costa Rica, Cuba, Dominica, Dominican Republic, El Salvador, Grenada, Guatemala, Haiti, Honduras, Jamaica, Nicaragua, Panama, Saint Kitts & NevisSaint Lucia, Saint Vincent & the Grenadines, Trinidad & Tobago",https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-na-eu/overview,,128,https://twitch.tv/numakie,https://twitch.tv/numakie,https://matcherino.com/tournaments/87054,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Matches will be played on EFZRevival 1.02E

In the event of a crash or technical difficulties, the game will be replayed up to the round count, at which point the match will resume (please try to make meters mostly the same as well, if possible).

Custom stages or UI (except for eng translation) on setups is not allowed, but voice mod or any palettes you wish to bring over will be fine.

Kanna is banned.",Winner must keep character. Loser may switch.,"No Unknown jab fly infinite.
No Cello proration bug.","In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Aligari,https://dl.airtable.com/.attachments/9db5a75adf273675c3f566341c0fcdee/6f49c843/EFZ_Logo1.png,,https://drive.google.com/drive/folders/1nfxJ5BcUc8ow8QodA9w7ZyIDcKSZTrTl?usp=sharing,2023-02-26 11:00am,2023-02-26 11:00am,PST,-8,PC-Caster
EFZ - SA/BR - (PC-Caster),Eternal Fighter Zero,EFZ,EFZ,SA/BR,Brazil,https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-br/overview,,None,https://twitch.tv/sage_malwous,https://twitch.tv/sage_malwous,https://matcherino.com/tournaments/87055,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Grand Finals,3/5 Games for Losers Finals","Matches should use caster version c and above.
Preference for versions e and h (Watch out for the player port during matches with h version)",Winner must keep character. Loser may switch.,"No Unknown jab fly infinite.
No Cello proration bug.",,EFZ Stella,https://dl.airtable.com/.attachments/9db5a75adf273675c3f566341c0fcdee/6f49c843/EFZ_Logo1.png,,"Game
https://drive.google.com/open?id=1GKhqchrkn7ypm_35dUmZ8ccViV4S9fqG
Latest caster
https://cdn.discordapp.com/attachments/245219433696460800/980220919073112064/RELEASE.7z
Concerto (for people who have issues with port forwarding)
https://cdn.discordapp.com/attachments/1038615459349659700/1049475674701836388/Concerto_EFZ_Test_5.zip",2023-02-19 10:00am,2023-02-19 3:00pm,BRT,-3,PC-Caster
